Kofoler,0,0,0,0,0,0,0,0,0,0,0,0,5552,1703182961.5486887,6303,1703237837.552413,6551,1703315533.4239032,6641,1703316146.968522,7087,1703335541.7614002,7250,1703348401.7263703,7371,1703404943.9376993,8769,1703795341.9021516,8992,1703795592.225332,17674,1703965996.9002416
kofoler alands,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10487,1703339967.1591694,10877,1703355281.2810993,11168,1703355787.114912,11456,1703356335.226724
kofoler,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14760,1703848722.2198908,18762,1703875222.6520143,19089,1703880481.0753942,23329,1703924683.6465678,24642,1703928479.5730948
kofoler2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26514,1703944761.6039262,26783,1703948413.9683194,27457,1703952281.284838,27503,1703952584.7754853,23713,1703963349.6030815,25561,1703968094.8852127,28863,1704006689.9573333,34157,1704028382.134519,37077,1704049510.3762176
kofoler3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,41070,1704118096.7109513,41097,1704118202.7800977
Kofoler Mainland,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,41097,1704118222.2058353,41140,1704119463.016607
