Para,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3094167,1690251750.1088743,3108685,1690509242.365914,3176547,1690763917.4885764,3228014,1691013628.5224586,3229303,1691019499.0511708,3279667,1691267133.2698774,3343055,1696294381.1319573
Santastico,0,0,0,0,0,0,0,0,935448,1690811211.2918916,951304,1690851757.6194959,979357,1691008870.9772997,985907,1691040476.1555228,991682,1691098256.928631,1000479,1691169240.2618024,1042307,1691447327.9587026,1127027,1692194926.088636,1152541,1692403910.1465683,1202105,1692807613.4748197,1210354,1692903247.233843,1210307,1697592905.2192261
Imperial,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1096947,1691009680.9548655,1097038,1691019457.2723513,1097248,1691037182.292241,1096468,1695759624.077554
amapa,123054,1691967610.3623393,123728,1691971723.6859543,126901,1692038373.3204775,128982,1692118993.7340407,134449,1692296668.1824894,140471,1692403871.748915,142255,1692411848.2451882,142926,1692429358.878791,149664,1693497880.133998,153003,1695753613.8791704,167884,1695917863.8272586,172730,1695932417.2328238,182779,1695955707.8355634,275026,1696187874.3007991,340200,1696359520.2488427,347772,1696378782.8215506
mg-sul,641511,1692316752.1921525,670649,1692402788.5381892,677577,1692413743.7449026,746154,1692632179.7222474,758823,1692713990.557887,818917,1692980155.4744735,874090,1693497682.5592108,922049,1694918992.887624,962385,1695081458.673342,990927,1695246283.4407666,1024704,1695404408.540087,1069655,1695584783.1095607,1081148,1695604057.4387448,1099559,1695676801.5326402,1121542,1696187949.877721,1130124,1696517840.6340618
pl,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1693614940.7263887,0,1703451140.6413436
tocantins,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,540867,1696547712.4005518,582583,1696621663.4875844,618143,1696715897.4077935,686775,1696980114.4308126,739145,1697165025.3615615,737605,1697202473.0426838,758229,1697202740.6345003,792972,1697322457.1697206
Maranhao,830231,1698786539.9125073,835055,1698792775.2115283,836212,1698794586.8208315,849415,1698841579.4059713,869402,1698879409.9935362,877678,1698893592.07013,911880,1698963186.0820599,915370,1698973509.1433702,928768,1699032141.2980075,956021,1699109842.1676345,997669,1699282203.644937,1010577,1699312648.3941836,1019488,1699372434.7125866,1028703,1699417678.9963741,1035057,1699486625.7346103,1050270,1699486721.433993
Cisplatina,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,681901,1697630146.2477896,681922,1703513300.5830064
BOPE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,31155,1697630289.8601742,31239,1697664223.611157
ElSalvador,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,119846,1698201949.1621213,130203,1698237176.985281,134062,1698243766.9869368
ElSalvadpr,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,134160,1698243845.7891834,135071,1698244609.4711294,144372,1698270768.5873206,154871,1698327546.9531658
ElMamador,178921,1698418144.2037477,180185,1698424850.8095384,185340,1698439409.7816622,189444,1698449777.387489,193867,1698499063.406657,199277,1698515243.6984787,208534,1698542598.588469,211339,1698618282.393093,221736,1698702080.2980835,227343,1698755301.1355746,229874,1698770138.582718,232552,1698792875.211067,233191,1698802351.4255893,233224,1698813871.4005947,232231,1698839346.3042667,234294,1699018383.7451239
top10,0,0,0,0,0,0,53563,1698449962.6852345,56126,1698514892.0853736,68841,1698775967.1432176,81119,1699018049.4510572,98061,1699321537.3728378,108817,1699628919.3049622,109768,1699641382.171015,121256,1700345183.1624198,121256,1700347283.4702892,123165,1700467391.686758,125548,1700523920.3122199,134960,1700704943.47338,145668,1700917949.145143
penis,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,249562,1698802872.931634
pinto,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1805646,1698804461.1776788,1809146,1700344511.9573238
bumda,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2105936,1698807383.9414482
Dino,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,27482,1699229502.673204,28038,1699231992.0953739,28991,1699236763.2270603,38111,1699406227.3189132,45338,1699486278.792502,48192,1699532201.060873,50087,1699541030.971867,56266,1699721596.720503
Piaui,424572,1700494109.2862227,437139,1700518237.011548,448849,1700578775.765305,492836,1700704876.2235837,518569,1700839904.8160722,540914,1700917924.8695076,571304,1701097066.8077004,583841,1701186315.6812117,626993,1701393295.2969096,702446,1701772649.9323792,706315,1701787890.9698954,734673,1701881234.623409,745311,1701960764.0580056,752921,1702047929.2337887,753546,1702049975.837537,753727,1702069210.4754884
SaoPaulo,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,793566,1699798107.9370034
Estado-Parana,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,652588,1699798250.1296537
1bt,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,162737,1700528322.2250626
palmera,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,273,1701907939.1441886,273,1703446212.603075
Goiás,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,233934,1703362223.5861773
